mechanism_id,boot_status,n_boot_valid,boot_ci_low,boot_ci_high,boot_ci_excludes_zero,loo_sign_stability
low_tail_q10__n_soil_moisture,FIT_OK,300,-0.3193327142243533,-0.0968971784890103,True,1.0
low_tail_q25__n_soil_moisture,FIT_OK,300,-0.32980551095990523,-0.09942749749558025,True,1.0
high_tail_q75__n_soil_moisture,FIT_OK,300,0.07556169965364169,0.3285024976571736,True,1.0
high_tail_q75__p10_soil_moisture,FIT_OK,300,-0.30550940915054253,-0.04675507544503063,True,1.0
linear__sd_soil_moisture,FIT_OK,300,0.07305346243128286,0.3586204146470056,True,1.0
linear__env_hydroclimatic_regime_sahel_high_vpd,FIT_OK,300,-0.42885663217301767,-0.08004189440497189,True,1.0
linear__env_mean_vpd_quartile_vpd_q3,FIT_OK,300,0.08119068631297366,0.2676137510518607,True,1.0
linear__mean_vpd,FIT_OK,300,-0.8025865714392806,-0.20886097848621704,True,1.0
quadratic__mean_vpd,FIT_OK,300,-0.6130540210589666,-0.11317747951664128,True,1.0
hinge_low_q25__mean_vpd,FIT_OK,300,0.12161531260499797,0.5804555218735633,True,1.0
hinge_high_q75__mean_vpd,FIT_OK,300,-0.7570938454531233,-0.14305932745377356,True,1.0
high_tail_q90__mean_vpd,FIT_OK,300,-0.41808576066597125,-0.06491437942287304,True,1.0
hinge_high_q90__mean_vpd,FIT_OK,300,-0.52348206481838,-0.12325487401661107,True,1.0
interaction_with_mean_annual_precipitation__mean_vpd,FIT_OK,300,0.16330569050130375,0.4777029137965954,True,1.0
linear__median_vpd,FIT_OK,300,-0.6377299056418803,-0.03221613283248665,True,1.0
quadratic__median_vpd,FIT_OK,300,-0.817686353043234,-0.10997953450848846,True,1.0
hinge_low_q25__median_vpd,FIT_OK,300,0.17114361462730207,0.5857454388286469,True,1.0
high_tail_q90__median_vpd,FIT_OK,300,-0.41316406089202995,-0.054613985257023476,True,1.0
hinge_high_q90__median_vpd,FIT_OK,300,-0.5692292928188751,-0.088390309077089,True,1.0
interaction_with_mean_annual_precipitation__median_vpd,FIT_OK,300,0.14518598186655796,0.4728051197765312,True,1.0
linear__median_vpd_sm_interaction,FIT_OK,300,-0.4121075470405038,-0.07364188273208687,True,1.0
high_tail_q75__median_vpd_sm_interaction,FIT_OK,300,-0.32166948258711653,-0.09818090865747013,True,1.0
linear__median_vpd_sm_interaction_all,FIT_OK,300,-0.4269264995702385,-0.12353653583209821,True,1.0
low_tail_q25__median_vpd_sm_interaction_all,FIT_OK,300,0.05639511909096253,0.35918532031198647,True,1.0
high_tail_q75__median_vpd_sm_interaction_all,FIT_OK,300,-0.3252769217142137,-0.11313213067116717,True,1.0
low_tail_q10__p10_vpd,FIT_OK,300,0.17582767412671704,0.5710360243444464,True,1.0
hinge_low_q10__p10_vpd,FIT_OK,300,0.0767603529741009,0.5359091846559095,True,1.0
hinge_low_q25__p10_vpd,FIT_OK,300,0.20103293837078315,0.6261171197222155,True,1.0
hinge_high_q75__p10_vpd,FIT_OK,300,-1.0140251021522242,-0.28873584999515584,True,1.0
hinge_high_q90__p10_vpd,FIT_OK,300,-0.6820620930774961,-0.23899589508278488,True,1.0
interaction_with_mean_annual_precipitation__p10_vpd,FIT_OK,300,0.2733904116336965,0.6184959160812299,True,1.0
linear__p90_vpd,FIT_OK,300,-0.7423359653572867,-0.2209771837104406,True,1.0
quadratic__p90_vpd,FIT_OK,300,-0.40669198413945984,-0.10377416586130063,True,1.0
hinge_high_q75__p90_vpd,FIT_OK,300,-0.6162673548631207,-0.23471017882544704,True,1.0
high_tail_q90__p90_vpd,FIT_OK,300,-0.44779086492550396,-0.12485921957889447,True,1.0
hinge_high_q90__p90_vpd,FIT_OK,300,-0.44389762538146754,-0.1316258234561488,True,1.0
interaction_with_mean_annual_precipitation__p90_vpd,FIT_OK,300,0.13551854496513385,0.45142173969352567,True,1.0
high_tail_q75__sd_vpd,FIT_OK,300,-0.33243612500431974,-0.04349767458801028,True,1.0
interaction_with_mean_annual_precipitation__sd_vpd,FIT_OK,300,0.11849842120802258,0.42999115246019287,True,1.0
low_tail_q10__growing_season_mean_lai,FIT_OK,300,0.13418886649281528,0.5127760576874547,True,1.0
hinge_low_q10__growing_season_mean_lai,FIT_OK,300,0.2244565765926915,0.611740242461792,True,1.0
hinge_low_q25__growing_season_mean_lai,FIT_OK,300,0.09062110550237,0.49409735901961305,True,1.0
low_tail_q10__lai,FIT_OK,300,0.11043199555719774,0.542698555099825,True,1.0
hinge_low_q10__lai,FIT_OK,300,0.2128725595190729,0.6323612598801575,True,1.0
hinge_low_q25__lai,FIT_OK,300,0.10283186678691533,0.46099040288319404,True,1.0
low_tail_q10__median_lai,FIT_OK,300,0.07460946318576783,0.43795664719486194,True,1.0
hinge_low_q10__median_lai,FIT_OK,300,0.27570972860035337,0.6897473815810177,True,1.0
hinge_low_q25__median_lai,FIT_OK,300,0.23281002406277815,0.6725664191215693,True,1.0
interaction_with_mean_annual_temperature__median_lai,FIT_OK,300,0.10042045847884609,0.5777783553393829,True,1.0
interaction_with_mean_annual_temperature__n_lai,FIT_OK,300,0.3172776174396459,1.5805503756792079,True,1.0
interaction_with_mean_annual_temperature__mean_annual_precipitation,FIT_OK,300,0.09646172897061098,0.42622407773722554,True,1.0
interaction_with_mean_vpd__mean_annual_precipitation,FIT_OK,300,0.13199154172973399,0.4643477920245049,True,1.0
interaction_with_mean_annual_temperature__mean_precipitation,FIT_OK,300,0.10482294425434523,0.4476179639681506,True,1.0
interaction_with_mean_vpd__mean_precipitation,FIT_OK,300,0.11714708420658348,0.4636762038656861,True,1.0
low_tail_q10__n_precipitation,FIT_OK,300,-0.3212099306366528,-0.0663136305331808,True,1.0
low_tail_q25__n_precipitation,FIT_OK,300,-0.30597783118259075,-0.0748275611119697,True,1.0
high_tail_q75__n_precipitation,FIT_OK,300,0.07537593842563958,0.324652338411582,True,1.0
low_tail_q25__p10_precipitation,FIT_OK,300,0.06189663409288495,0.41376646651266563,True,1.0
interaction_with_mean_annual_temperature__p90_precipitation,FIT_OK,300,0.18639214384046396,0.5021117895346202,True,1.0
interaction_with_mean_vpd__p90_precipitation,FIT_OK,300,0.12561590812166606,0.4256158833846094,True,1.0
interaction_with_mean_annual_temperature__sd_precipitation,FIT_OK,300,0.1825852467909718,0.5143247482960814,True,1.0
interaction_with_mean_vpd__sd_precipitation,FIT_OK,300,0.09787633013818238,0.3875125572492393,True,1.0
low_tail_q25__rooting_depth,FIT_OK,300,0.041394116177175914,0.2851201424210573,True,1.0
low_tail_q25__rooting_zone_storage_rooting_depth,FIT_OK,300,0.050769922921916594,0.3002170897925715,True,1.0
low_tail_q25__trait_rooting_depth,FIT_OK,300,0.05118923648119225,0.29771639338878403,True,1.0
linear__soil_sand,FIT_OK,300,0.10411632983251395,0.35035241244529347,True,1.0
high_tail_q75__soil_sand,FIT_OK,300,0.0894906842818476,0.30737994079631,True,1.0
high_tail_q90__soil_sand,FIT_OK,300,0.044707684588173,0.2703615669735593,True,1.0
linear__soil_sand_mean,FIT_OK,300,0.11459092583358202,0.37512798781393775,True,1.0
high_tail_q75__soil_sand_mean,FIT_OK,300,0.10127584771469632,0.32902187850662323,True,1.0
high_tail_q90__soil_sand_mean,FIT_OK,300,0.0507438256588122,0.2706716256882844,True,1.0
linear__soil_silt,FIT_OK,300,-0.42508644217706143,-0.1466089318749346,True,1.0
low_tail_q10__soil_silt,FIT_OK,300,0.04968243164468149,0.2532641860643373,True,1.0
low_tail_q25__soil_silt,FIT_OK,300,0.17379949634482503,0.4098921692367385,True,1.0
high_tail_q75__soil_silt,FIT_OK,300,-0.2569422435723401,-0.054141891920066104,True,1.0
linear__soil_silt_mean,FIT_OK,300,-0.4349884574052238,-0.13886494031578187,True,1.0
low_tail_q10__soil_silt_mean,FIT_OK,300,0.022285270205731036,0.24391355930473463,True,1.0
low_tail_q25__soil_silt_mean,FIT_OK,300,0.17517600284194335,0.4081397634266525,True,1.0
high_tail_q75__soil_silt_mean,FIT_OK,300,-0.2527410823337259,-0.039733391226750396,True,1.0
linear__soil_texture_coarse_index,FIT_OK,300,0.06316787142427421,0.30481117645606637,True,1.0
linear__soil_texture_fine_index,FIT_OK,300,-0.3590414408990508,-0.0832248520419254,True,1.0
