outcome_col,gpp_product,et_product,gpp_dependency_rank,et_dependency_rank,combo_dependency_rank_sum,is_gosif_gleam
pml_minus_independent_slope_change,PML,PML,3,3,6,False
slope_change_iqr_pml_containing,PML,PML,3,3,6,False
slope_change_modis_modis,MODIS,MODIS,2,2,4,False
slope_change_modis_gleam,MODIS,GLEAM,2,0,2,False
slope_change_modis_pml,MODIS,PML,2,3,5,False
slope_change_modis_pml,PML,MODIS,3,2,5,False
slope_change_modis_pml,PML,PML,3,3,6,False
slope_change_gosif_modis,GOSIF,MODIS,1,2,3,False
slope_change_gosif_gleam,GOSIF,GLEAM,1,0,1,True
slope_change_gosif_pml,GOSIF,PML,1,3,4,False
slope_change_gosif_pml,PML,PML,3,3,6,False
slope_change_pml_modis,MODIS,PML,2,3,5,False
slope_change_pml_modis,PML,MODIS,3,2,5,False
slope_change_pml_modis,PML,PML,3,3,6,False
slope_change_pml_gleam,PML,GLEAM,3,0,3,False
slope_change_pml_gleam,PML,PML,3,3,6,False
slope_change_pml_pml,PML,PML,3,3,6,False
slope_change_deviation_from_all_modis_modis,MODIS,MODIS,2,2,4,False
abs_slope_change_deviation_from_all_modis_modis,MODIS,MODIS,2,2,4,False
slope_change_deviation_from_all_modis_gleam,MODIS,GLEAM,2,0,2,False
abs_slope_change_deviation_from_all_modis_gleam,MODIS,GLEAM,2,0,2,False
slope_change_deviation_from_all_modis_pml,MODIS,PML,2,3,5,False
slope_change_deviation_from_all_modis_pml,PML,MODIS,3,2,5,False
slope_change_deviation_from_all_modis_pml,PML,PML,3,3,6,False
abs_slope_change_deviation_from_all_modis_pml,MODIS,PML,2,3,5,False
abs_slope_change_deviation_from_all_modis_pml,PML,MODIS,3,2,5,False
abs_slope_change_deviation_from_all_modis_pml,PML,PML,3,3,6,False
slope_change_deviation_from_all_gosif_modis,GOSIF,MODIS,1,2,3,False
abs_slope_change_deviation_from_all_gosif_modis,GOSIF,MODIS,1,2,3,False
slope_change_deviation_from_all_gosif_gleam,GOSIF,GLEAM,1,0,1,True
abs_slope_change_deviation_from_all_gosif_gleam,GOSIF,GLEAM,1,0,1,True
slope_change_deviation_from_all_gosif_pml,GOSIF,PML,1,3,4,False
slope_change_deviation_from_all_gosif_pml,PML,PML,3,3,6,False
abs_slope_change_deviation_from_all_gosif_pml,GOSIF,PML,1,3,4,False
abs_slope_change_deviation_from_all_gosif_pml,PML,PML,3,3,6,False
slope_change_deviation_from_all_pml_modis,MODIS,PML,2,3,5,False
slope_change_deviation_from_all_pml_modis,PML,MODIS,3,2,5,False
slope_change_deviation_from_all_pml_modis,PML,PML,3,3,6,False
abs_slope_change_deviation_from_all_pml_modis,MODIS,PML,2,3,5,False
abs_slope_change_deviation_from_all_pml_modis,PML,MODIS,3,2,5,False
abs_slope_change_deviation_from_all_pml_modis,PML,PML,3,3,6,False
slope_change_deviation_from_all_pml_gleam,PML,GLEAM,3,0,3,False
slope_change_deviation_from_all_pml_gleam,PML,PML,3,3,6,False
abs_slope_change_deviation_from_all_pml_gleam,PML,GLEAM,3,0,3,False
abs_slope_change_deviation_from_all_pml_gleam,PML,PML,3,3,6,False
slope_change_deviation_from_all_pml_pml,PML,PML,3,3,6,False
abs_slope_change_deviation_from_all_pml_pml,PML,PML,3,3,6,False
