status,n,coef,se_hc3,p,ci_low,ci_high,ci_excludes_zero,full_r2,reduced_r2,delta_r2,full_aic,reduced_aic,delta_aic_full_minus_reduced,nested_f_p,focal_vif,mechanism_id,feature,feature_family,mechanism_type,moderator,controls_used,controls_omitted,bh_q,by_q,holm_p,primary_pass
FIT_OK,191,0.4533061679897883,0.09612619287453794,4.812512029636177e-06,0.26362700130522965,0.6429853346743469,True,0.47618706579620595,0.40750700654825256,0.0686800592479534,440.52997473321693,462.06201947901775,-21.532044745800818,2.566733510914681e-06,2.991938041225691,hinge_low_q25__p10_temperature,p10_temperature,temperature,hinge_low,,aridity;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,temperature:omitted_same_family_as_focal_or_moderator,0.0019667938069389515,0.014339459527718309,0.003960697400390574,True
FIT_OK,198,0.29240032691850343,0.0637846941862161,8.29555495662489e-06,0.16657464035240452,0.4182260134846023,True,0.4416235250158944,0.38626475590819465,0.05535876910769977,466.52073131496655,483.2377139587271,-16.71698264376056,2.552699341025171e-05,1.5444337466339373,low_tail_q25__soil_silt,soil_silt,soil_texture,low_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,soil_texture:omitted_same_family_as_focal_or_moderator,0.0019667938069389515,0.014339459527718309,0.00681894617434566,True
FIT_OK,198,0.29240032691850343,0.0637846941862161,8.29555495662489e-06,0.16657464035240452,0.4182260134846023,True,0.4416235250158944,0.38626475590819465,0.05535876910769977,466.52073131496655,483.2377139587271,-16.71698264376056,2.552699341025171e-05,1.5444337466339373,low_tail_q25__soil_silt_mean,soil_silt_mean,soil_texture,low_tail,,aridity;mean_annual_temperature;mean_annual_precipitation;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,soil_texture:omitted_same_family_as_focal_or_moderator,0.0019667938069389515,0.014339459527718309,0.00681894617434566,True
FIT_OK,191,0.41440317682986694,0.09094169525635512,9.559143654624308e-06,0.23495422064764768,0.5938521330120862,True,0.4426987875321756,0.38905996197272985,0.05363882555944577,452.3664826037008,467.91803543048724,-15.551552826786462,4.877340072642912e-05,3.2015986773678495,interaction_with_mean_annual_precipitation__p10_vpd,p10_vpd,baseline_vpd,interaction,mean_annual_precipitation,aridity;mean_annual_temperature;soil_texture_pc1;growing_season_mean_lai;mean_soil_moisture;lat;lon,precipitation:omitted_same_family_as_focal_or_moderator;baseline_vpd:omitted_same_family_as_focal_or_moderator,0.0019667938069389515,0.014339459527718309,0.007838497796791933,True
FIT_OK,191,0.4756745122679605,0.10799392703846812,1.8201100844432195e-05,0.2625695092210717,0.6887795153148493,True,0.5192431811294496,0.40816173807197764,0.11108144305747192,426.1473209221987,463.8508391471587,-37.70351822496002,1.1181781646403544e-09,2.0369400630157037,hinge_low_q10__median_lai,median_lai,canopy_structure,hinge_low,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.002491675581824501,0.018166256694383327,0.014906701591589968,True
FIT_OK,191,0.46538404866422034,0.10735197144453548,2.4200280397473075e-05,0.25355382969236656,0.6772142676360742,True,0.4581431089782768,0.4066220704131991,0.051521038565077726,446.99862962176337,462.3470805761165,-15.348450954353154,5.3940905104843886e-05,4.203764496663442,hinge_low_q25__mat,mat,temperature,hinge_low,,aridity;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,temperature:omitted_same_family_as_focal_or_moderator,0.002491675581824501,0.018166256694383327,0.019795829365132977,True
FIT_OK,191,0.46538404866422034,0.10735197144453548,2.4200280397473075e-05,0.25355382969236656,0.6772142676360742,True,0.4581431089782768,0.4066220704131991,0.051521038565077726,446.99862962176337,462.3470805761165,-15.348450954353154,5.3940905104843886e-05,4.203764496663442,hinge_low_q25__mean_annual_temperature,mean_annual_temperature,temperature,hinge_low,,aridity;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,temperature:omitted_same_family_as_focal_or_moderator,0.002491675581824501,0.018166256694383327,0.019795829365132977,True
FIT_OK,191,0.4653716825089558,0.10735412530890602,2.4220418778366956e-05,0.2535372134655373,0.6772061515523742,True,0.4581375891235815,0.4066220700635773,0.05151551906000418,447.000575314241,462.34708068865484,-15.346505374413823,5.399298043524133e-05,4.203991473500617,hinge_low_q25__mean_temperature,mean_temperature,temperature,hinge_low,,aridity;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,temperature:omitted_same_family_as_focal_or_moderator,0.002491675581824501,0.018166256694383327,0.019795829365132977,True
FIT_OK,191,0.39510016120976926,0.09377333004001447,3.96417597164409e-05,0.21007065467459968,0.5801296677449388,True,0.4774126633820528,0.4066220697437839,0.0707905936382689,438.08255656548954,460.3470807915918,-22.264524226102253,1.6788938368265983e-06,2.2051536703542602,low_tail_q10__p10_temperature,p10_temperature,temperature,low_tail,,aridity;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,temperature:omitted_same_family_as_focal_or_moderator,0.0036250186940700955,0.026429211169696282,0.03230803416889934,True
FIT_OK,191,0.44097939769271277,0.10684613625843715,5.6200857409315785e-05,0.23013933642897222,0.6518194589564533,True,0.48532853954773203,0.40816173807197764,0.07716680147575439,439.1672538372843,463.8508391471587,-24.68358530987439,5.919810675564847e-07,2.520032260900782,hinge_low_q25__median_lai,median_lai,canopy_structure,hinge_low,,aridity;mean_annual_temperature;mean_annual_precipitation;soil_texture_pc1;growing_season_mean_lai;mean_vpd;mean_soil_moisture;lat;lon,,0.004625330564786689,0.03372226422621428,0.04574749793118305,True
