id,feature,type,moderator,params
linear__mean_obs_soil_moisture,mean_obs_soil_moisture,linear,,{}
quadratic__mean_obs_soil_moisture,mean_obs_soil_moisture,quadratic,,{}
low_tail_q10__mean_obs_soil_moisture,mean_obs_soil_moisture,low_tail,,"{'q': 0.1, 'cut': -1.1549606538023947}"
hinge_low_q10__mean_obs_soil_moisture,mean_obs_soil_moisture,hinge_low,,"{'q': 0.1, 'cut': -1.1549606538023947}"
low_tail_q25__mean_obs_soil_moisture,mean_obs_soil_moisture,low_tail,,"{'q': 0.25, 'cut': -0.7422906030469142}"
hinge_low_q25__mean_obs_soil_moisture,mean_obs_soil_moisture,hinge_low,,"{'q': 0.25, 'cut': -0.7422906030469142}"
high_tail_q75__mean_obs_soil_moisture,mean_obs_soil_moisture,high_tail,,"{'q': 0.75, 'cut': 0.7780138276584856}"
hinge_high_q75__mean_obs_soil_moisture,mean_obs_soil_moisture,hinge_high,,"{'q': 0.75, 'cut': 0.7780138276584856}"
high_tail_q90__mean_obs_soil_moisture,mean_obs_soil_moisture,high_tail,,"{'q': 0.9, 'cut': 1.1901415399224458}"
hinge_high_q90__mean_obs_soil_moisture,mean_obs_soil_moisture,hinge_high,,"{'q': 0.9, 'cut': 1.1901415399224458}"
interaction_with_mean_annual_temperature__mean_obs_soil_moisture,mean_obs_soil_moisture,interaction,mean_annual_temperature,{'moderator_family': 'temperature'}
interaction_with_mean_vpd__mean_obs_soil_moisture,mean_obs_soil_moisture,interaction,mean_vpd,{'moderator_family': 'baseline_vpd'}
interaction_with_aridity__mean_obs_soil_moisture,mean_obs_soil_moisture,interaction,aridity,{'moderator_family': 'aridity'}
interaction_with_mean_annual_precipitation__mean_obs_soil_moisture,mean_obs_soil_moisture,interaction,mean_annual_precipitation,{'moderator_family': 'precipitation'}
linear__mean_soil_moisture,mean_soil_moisture,linear,,{}
quadratic__mean_soil_moisture,mean_soil_moisture,quadratic,,{}
low_tail_q10__mean_soil_moisture,mean_soil_moisture,low_tail,,"{'q': 0.1, 'cut': -1.1549606538023947}"
hinge_low_q10__mean_soil_moisture,mean_soil_moisture,hinge_low,,"{'q': 0.1, 'cut': -1.1549606538023947}"
low_tail_q25__mean_soil_moisture,mean_soil_moisture,low_tail,,"{'q': 0.25, 'cut': -0.7422906030469142}"
